raceId,year,round,circuitId,name,date,time,url,driverId,grid,position,datetime,ls_driver_points,ls_constructor_points,last_circuit_position,last_position,last_position2,last_position3,last_position4,last_position5
297,1992.0,9.0,9.0,British Grand Prix,1992-07-12,\N,http://en.wikipedia.org/wiki/1992_British_Grand_Prix,123.0,13.0,3,1992-07-12,0.0,0.0,2.0,12.0,10.0,9.0,17.0,9.0
298,1992.0,10.0,10.0,German Grand Prix,1992-07-26,\N,http://en.wikipedia.org/wiki/1992_German_Grand_Prix,119.0,2.0,3,1992-07-26,53.0,125.0,2.0,2.0,2.0,2.0,2.0,5.0
298,1992.0,10.0,10.0,German Grand Prix,1992-07-26,\N,http://en.wikipedia.org/wiki/1992_German_Grand_Prix,123.0,8.0,3,1992-07-26,0.0,0.0,9.0,10.0,12.0,10.0,9.0,17.0
298,1992.0,10.0,10.0,German Grand Prix,1992-07-26,\N,http://en.wikipedia.org/wiki/1992_German_Grand_Prix,55.0,5.0,3,1992-07-26,21.0,55.0,3.0,3.0,4.0,3.0,3.0,3.0
298,1992.0,10.0,10.0,German Grand Prix,1992-07-26,\N,http://en.wikipedia.org/wiki/1992_German_Grand_Prix,102.0,3.0,2,1992-07-26,96.0,139.0,7.0,1.0,3.0,9.0,2.0,2.0
298,1992.0,10.0,10.0,German Grand Prix,1992-07-26,\N,http://en.wikipedia.org/wiki/1992_German_Grand_Prix,95.0,1.0,1,1992-07-26,72.0,125.0,1.0,1.0,1.0,2.0,1.0,1.0
299,1992.0,11.0,11.0,Hungarian Grand Prix,1992-08-16,\N,http://en.wikipedia.org/wiki/1992_Hungarian_Grand_Prix,77.0,5.0,2,1992-08-16,43.0,139.0,4.0,5.0,1.0,4.0,3.0,4.0
299,1992.0,11.0,11.0,Hungarian Grand Prix,1992-08-16,\N,http://en.wikipedia.org/wiki/1992_Hungarian_Grand_Prix,95.0,2.0,2,1992-08-16,72.0,125.0,2.0,1.0,1.0,1.0,2.0,1.0
299,1992.0,11.0,11.0,Hungarian Grand Prix,1992-08-16,\N,http://en.wikipedia.org/wiki/1992_Hungarian_Grand_Prix,102.0,3.0,1,1992-08-16,96.0,139.0,1.0,2.0,1.0,3.0,9.0,2.0
300,1992.0,12.0,13.0,Belgian Grand Prix,1992-08-30,\N,http://en.wikipedia.org/wiki/1992_Belgian_Grand_Prix,131.0,17.0,4,1992-08-30,10.0,12.0,17.0,10.0,7.0,11.0,2.0,4.0
300,1992.0,12.0,13.0,Belgian Grand Prix,1992-08-30,\N,http://en.wikipedia.org/wiki/1992_Belgian_Grand_Prix,119.0,4.0,2,1992-08-30,53.0,125.0,5.0,8.0,2.0,2.0,2.0,2.0
300,1992.0,12.0,13.0,Belgian Grand Prix,1992-08-30,\N,http://en.wikipedia.org/wiki/1992_Belgian_Grand_Prix,102.0,2.0,3,1992-08-30,96.0,139.0,1.0,1.0,2.0,1.0,3.0,9.0
300,1992.0,12.0,13.0,Belgian Grand Prix,1992-08-30,\N,http://en.wikipedia.org/wiki/1992_Belgian_Grand_Prix,110.0,13.0,3,1992-08-30,9.0,13.0,13.0,8.0,5.0,5.0,7.0,4.0
301,1992.0,13.0,14.0,Italian Grand Prix,1992-09-13,\N,http://en.wikipedia.org/wiki/1992_Italian_Grand_Prix,102.0,2.0,1,1992-09-13,96.0,139.0,2.0,5.0,1.0,2.0,1.0,3.0
301,1992.0,13.0,14.0,Italian Grand Prix,1992-09-13,\N,http://en.wikipedia.org/wiki/1992_Italian_Grand_Prix,77.0,5.0,3,1992-09-13,43.0,139.0,4.0,3.0,5.0,1.0,4.0,3.0
301,1992.0,13.0,14.0,Italian Grand Prix,1992-09-13,\N,http://en.wikipedia.org/wiki/1992_Italian_Grand_Prix,119.0,4.0,3,1992-09-13,53.0,125.0,5.0,3.0,8.0,2.0,2.0,2.0
301,1992.0,13.0,14.0,Italian Grand Prix,1992-09-13,\N,http://en.wikipedia.org/wiki/1992_Italian_Grand_Prix,110.0,21.0,3,1992-09-13,9.0,13.0,7.0,8.0,8.0,5.0,5.0,7.0
302,1992.0,14.0,27.0,Portuguese Grand Prix,1992-09-27,\N,http://en.wikipedia.org/wiki/1992_Portuguese_Grand_Prix,95.0,1.0,1,1992-09-27,72.0,125.0,1.0,2.0,1.0,1.0,1.0,2.0
302,1992.0,14.0,27.0,Portuguese Grand Prix,1992-09-27,\N,http://en.wikipedia.org/wiki/1992_Portuguese_Grand_Prix,77.0,4.0,2,1992-09-27,43.0,139.0,4.0,4.0,3.0,5.0,1.0,4.0
302,1992.0,14.0,27.0,Portuguese Grand Prix,1992-09-27,\N,http://en.wikipedia.org/wiki/1992_Portuguese_Grand_Prix,102.0,3.0,2,1992-09-27,96.0,139.0,2.0,1.0,5.0,1.0,2.0,1.0
302,1992.0,14.0,27.0,Portuguese Grand Prix,1992-09-27,\N,http://en.wikipedia.org/wiki/1992_Portuguese_Grand_Prix,123.0,11.0,3,1992-09-27,0.0,0.0,16.0,7.0,10.0,12.0,10.0,9.0
302,1992.0,14.0,27.0,Portuguese Grand Prix,1992-09-27,\N,http://en.wikipedia.org/wiki/1992_Portuguese_Grand_Prix,110.0,12.0,3,1992-09-27,9.0,13.0,8.0,6.0,8.0,8.0,5.0,5.0
303,1992.0,15.0,22.0,Japanese Grand Prix,1992-10-25,\N,http://en.wikipedia.org/wiki/1992_Japanese_Grand_Prix,77.0,4.0,2,1992-10-25,43.0,139.0,1.0,2.0,4.0,3.0,5.0,1.0
303,1992.0,15.0,22.0,Japanese Grand Prix,1992-10-25,\N,http://en.wikipedia.org/wiki/1992_Japanese_Grand_Prix,84.0,13.0,2,1992-10-25,2.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0
