grid,last_circuit_position,last_position,last_position2,last_position3,last_position4,last_position5,ls_constructor_points,ls_driver_points,position
7.0,4.0,4.0,7.0,9.0,3.0,8.0,21.0,18.0,3
2.0,3.0,2.0,2.0,12.0,3.0,1.0,10.0,5.0,2
1.0,1.0,1.0,4.0,4.0,5.0,4.0,99.0,50.0,1
2.0,3.0,1.0,2.0,2.0,2.0,2.0,72.0,52.0,1
3.0,8.0,4.0,4.0,7.0,9.0,3.0,28.0,16.0,2
15.0,9.0,10.0,8.0,7.0,14.0,10.0,7.0,0.0,3
13.0,10.0,12.0,11.0,6.0,16.0,8.0,3.0,1.0,3
21.0,4.0,5.0,4.0,13.0,13.0,6.0,12.0,11.0,3
2.0,2.0,1.0,1.0,2.0,2.0,2.0,72.0,52.0,1
8.0,5.0,7.0,5.0,4.0,6.0,10.0,84.0,4.0,2
13.0,3.0,6.0,9.0,6.0,7.0,5.0,23.0,13.0,3
20.0,8.0,7.0,5.0,4.0,13.0,13.0,12.0,11.0,3
1.0,4.0,1.0,1.0,1.0,2.0,2.0,72.0,52.0,1
8.0,6.0,8.0,6.0,9.0,6.0,7.0,23.0,13.0,2
3.0,14.0,5.0,10.0,3.0,6.0,4.0,28.0,12.0,2
14.0,10.0,13.0,12.0,13.0,11.0,15.0,0.0,0.0,3
5.0,3.0,3.0,4.0,4.0,7.0,9.0,28.0,16.0,3
17.0,9.0,8.0,9.0,8.0,7.0,4.0,12.0,5.0,3
13.0,10.0,9.0,12.0,11.0,6.0,16.0,3.0,1.0,3
12.0,7.0,14.0,16.0,11.0,6.0,7.0,0.0,0.0,3
1.0,3.0,1.0,1.0,1.0,1.0,2.0,72.0,52.0,2
6.0,3.0,5.0,3.0,4.0,4.0,7.0,28.0,16.0,3
18.0,6.0,8.0,10.0,8.0,7.0,14.0,7.0,0.0,3
8.0,10.0,2.0,8.0,6.0,9.0,6.0,23.0,13.0,4
1.0,2.0,2.0,1.0,1.0,1.0,1.0,72.0,52.0,1
2.0,3.0,4.0,5.0,3.0,4.0,4.0,28.0,16.0,2
3.0,4.0,3.0,5.0,10.0,3.0,6.0,28.0,12.0,3
17.0,10.0,10.0,7.0,5.0,4.0,13.0,12.0,11.0,3
15.0,8.0,5.0,8.0,10.0,8.0,7.0,7.0,0.0,3
